geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
3,33860,"Montgomery, AL Metro Area",210,0.4183829731107553,72.54,-0.3418131321293549,85.73
3,19300,"Daphne-Fairhope-Foley, AL Metro Area",245,0.5852090066506699,76.43,-3.8778853689885104,69.62
3,21640,"Eufaula, AL-GA Micro Area",98,-0.9733478422990705,13.73,-9.19390242653355,20.0
3,13820,"Birmingham, AL Metro Area",280,0.24656532959829847,67.68,12.465808719095179,99.35
3,11500,"Anniston-Oxford, AL Metro Area",163,-0.5768761780004442,32.86,-3.2376538968257105,74.27
3,29300,"LaGrange, GA-AL Micro Area",140,-0.42223593193976616,41.3,-4.86338453863647,62.81
3,21460,"Enterprise, AL Micro Area",147,-0.46303032567752506,39.03,-5.580697107096808,55.89
3,22520,"Florence-Muscle Shoals, AL Metro Area",204,-0.46119049044063676,39.35,1.7440303460306998,90.49
3,45180,"Talladega-Sylacauga, AL Micro Area",144,-1.0601915874033474,9.41,-5.346523417828107,58.7
3,18980,"Cullman, AL Micro Area",178,-0.733793852595423,25.08,-1.1393299377993875,82.92
3,37120,"Ozark, AL Micro Area",90,-0.369527396764185,43.46,-7.317444861788143,40.76
3,42820,"Selma, AL Micro Area",138,-0.9929546126242885,12.22,-5.7151075340228905,55.35
3,22840,"Fort Payne, AL Micro Area",144,-1.2693221275208428,4.0,-4.873479314781127,62.7
3,23460,"Gadsden, AL Metro Area",167,-0.797367755357484,21.95,-4.6222475128071165,64.76
3,40770,"Russellville, AL Micro Area",98,-1.2719387031765792,3.89,-9.892049897959785,14.16
3,20020,"Dothan, AL Metro Area",209,-0.3086794145092611,46.49,1.0063612253640615,89.3
3,46220,"Tuscaloosa, AL Metro Area",172,-0.5944701048008824,31.89,-2.009128810910135,80.22
3,42460,"Scottsboro, AL Micro Area",145,-0.8578914203167942,18.81,-4.905292677568888,62.49
3,19460,"Decatur, AL Metro Area",196,-0.5602266051260514,33.84,2.169095919537866,91.03
3,12220,"Auburn-Opelika, AL Metro Area",167,-0.06654554681836232,56.54,-5.298722808970537,59.14
3,26620,"Huntsville, AL Metro Area",167,1.140500226802668,85.73,-5.9512808473156795,52.86
3,10700,"Albertville, AL Micro Area",158,-0.8348629757449443,20.22,-3.6941474784292776,70.92
3,33660,"Mobile, AL Metro Area",256,0.19670783578692613,65.95,7.099016509747546,96.86
3,45980,"Troy, AL Micro Area",91,-1.2319594815217365,5.3,-10.152554358826805,12.43
3,17980,"Columbus, GA-AL Metro Area",164,0.162407366106778,64.65,-4.1902983588723375,67.14
