geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
3,111000,Crop Production,438,0.0050759593815863525,-1.4567295460582568,5.07
3,112000,Animal Production,454,0.0026516068735359054,-1.7396249370858994,1.8
3,113110,Timber Tract Operations,255,2.529765124674053e-05,-1.0477469478989214,13.64
3,113210,Forest Nurseries and Gathering of Forest Products,213,1.703719369678444e-05,-0.79620895967813,20.51
3,113310,Logging,362,0.0003570009133083107,-1.334264464198696,6.24
3,114111,Finfish Fishing,161,6.95656727141094e-05,0.26216814497866026,66.6
3,114112,Shellfish Fishing,122,6.799962763693022e-05,0.00874370079453274,56.24
3,114119,Other Marine Fishing,88,9.52247189786605e-06,0.8583576281022929,81.71
3,114210,Hunting and Trapping,318,3.84857011823996e-05,-1.349462170590641,5.81
3,115111,Cotton Ginning,129,3.501516172564721e-05,-2.013525973632498,0.42
3,115112,"Soil Preparation, Planting, and Cultivating",366,0.0001982337719123838,-1.6213281196381837,2.64
3,115113,"Crop Harvesting, Primarily by Machine",168,6.93591612753605e-05,-1.77541856434055,1.37
3,115114,Postharvest Crop Activities (except Cotton Ginning),161,0.0004930575328707125,-1.4161540157060106,5.39
3,115115,Farm Labor Contractors and Crew Leaders,354,0.0019636885889190415,-1.887845718775105,0.74
3,115116,Farm Management Services,156,0.00013253445224596218,-1.4733199402652546,4.76
3,115210,Support Activities for Animal Production,389,0.0002514506223922051,-1.1799286794396575,9.83
3,115310,Support Activities for Forestry,258,0.00014428265853923307,-0.8858889699622593,17.44
3,211120,Crude Petroleum Extraction,115,0.0004853477724907535,-1.7520421768140257,1.59
3,211130,Natural Gas Extraction,120,0.00021898243507779435,-1.6323799049732166,2.22
3,212114,Surface Coal Mining,50,0.00010554455448725149,-1.567509113817255,3.49
3,212115,Underground Coal Mining,33,0.00013306794012939686,-1.6063435571138023,2.96
3,212210,Iron Ore Mining,12,3.0466173644317227e-05,-1.1584746258318175,10.47
3,212220,Gold Ore and Silver Ore Mining,21,9.451913822960176e-05,0.5738180902111112,75.26
3,212230,"Copper, Nickel, Lead, and Zinc Mining",23,0.00011549725854917775,0.5967620165487931,75.69
3,212290,Other Metal Ore Mining,28,2.7529122070999505e-05,0.6669672378858732,77.8
3,212311,Dimension Stone Mining and Quarrying,118,4.493344721444866e-05,-0.4783697651404181,33.62
3,212312,Crushed and Broken Limestone Mining and Quarrying,224,0.0001383110361020773,-1.1050453637732987,11.42
3,212313,Crushed and Broken Granite Mining and Quarrying,72,3.681640038584597e-05,-0.004570083999518238,55.81
3,212319,Other Crushed and Broken Stone Mining and Quarrying,144,4.7732824495267114e-05,-0.1343100171944731,50.21
3,212321,Construction Sand and Gravel Mining,344,0.00019314555951876501,-0.8480556195244429,19.13
3,212322,Industrial Sand Mining,63,5.175406112201657e-05,-0.8849228087859218,17.55
3,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",35,3.634601321980681e-05,-0.2723877452284804,43.13
3,212390,Other Nonmetallic Mineral Mining and Quarrying,89,7.25314064316978e-05,-0.595122425671519,29.39
3,213111,Drilling Oil and Gas Wells,123,0.0002585121663116467,-1.6716993751916296,2.11
3,213112,Support Activities for Oil and Gas Operations,136,0.0012918437779514667,-2.019293457510515,0.32
3,213113,Support Activities for Coal Mining,60,2.8819818563180146e-05,-1.2108568150127759,8.88
3,213114,Support Activities for Metal Mining,54,2.8521524262765064e-05,0.464565574270197,73.68
3,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,97,1.930308309416823e-05,-0.6054047603119944,28.96
3,221111,Hydroelectric Power Generation,123,4.766398734901748e-05,-0.24022318753601138,45.03
3,221112,Fossil Fuel Electric Power Generation,213,0.0004273754224908533,-0.9393291099341684,16.38
3,221113,Nuclear Electric Power Generation,40,0.00021330337051219954,0.5954111003125805,75.58
3,221114,Solar Electric Power Generation,85,9.617122973959298e-05,1.28148791663622,88.58
3,221115,Wind Electric Power Generation,90,6.69670704431857e-05,-1.228776026697367,8.56
3,221116,Geothermal Electric Power Generation,20,6.2068160201753414e-06,0.4330330624862551,72.2
3,221117,Biomass Electric Power Generation,63,1.4094405694612582e-05,0.35198607290306283,70.4
3,221118,Other Electric Power Generation,65,2.8424004972244748e-05,0.4562275223054984,73.47
3,221121,Electric Bulk Power Transmission and Control,115,0.00016649411106244835,-0.6062768209301825,28.86
3,221122,Electric Power Distribution,468,0.0013226426644693237,-1.403842827576555,5.5
3,221210,Natural Gas Distribution,288,0.000679021083464099,-1.19242872572942,9.62
3,221310,Water Supply and Irrigation Systems,377,0.0003202533500687144,-1.0319704171985546,13.95
3,221320,Sewage Treatment Facilities,180,4.456057933892981e-05,-0.1427639643236225,49.47
3,221330,Steam and Air-Conditioning Supply,46,8.879991866202799e-06,1.4662750358674739,91.01
3,236115,New Single-Family Housing Construction (except For-Sale Builders),418,0.003135847515257811,-0.26657027277975825,43.45
3,236116,New Multifamily Housing Construction (except For-Sale Builders),146,0.00031452265764343235,0.7965965860046468,80.44
3,236117,New Housing For-Sale Builders,298,0.0005648833585533516,-0.17909191987065448,47.89
3,236118,Residential Remodelers,365,0.0045392476251356634,-0.03915374302861297,53.81
3,236210,Industrial Building Construction,232,0.0009852144464113258,-1.5318600175122787,4.12
3,236220,Commercial and Institutional Building Construction,311,0.004716107463137536,-0.7453095665945956,22.94
3,237110,Water and Sewer Line and Related Structures Construction,364,0.0012763210014721741,-0.7912195971358167,20.72
3,237120,Oil and Gas Pipeline and Related Structures Construction,176,0.0008510279026553723,-1.6257319836524966,2.54
3,237130,Power and Communication Line and Related Structures Construction,301,0.0014282732653893872,-1.1595662600474579,10.36
3,237210,Land Subdivision,184,0.00024511186850838463,0.15213440398660646,62.05
3,237310,"Highway, Street, and Bridge Construction",370,0.002228505090541384,-0.8565867750048682,18.82
3,237990,Other Heavy and Civil Engineering Construction,271,0.0008575674315490875,-0.7696340315380785,21.78
3,238110,Poured Concrete Foundation and Structure Contractors,347,0.0017197985797565878,-0.6816761780361364,25.37
3,238120,Structural Steel and Precast Concrete Contractors,227,0.0005447083382733546,-0.663373082681755,26.11
3,238130,Framing Contractors,234,0.0006333246912120503,-0.17428092188862856,48.1
3,238140,Masonry Contractors,298,0.0010414486584684225,-0.20968903243543208,46.62
3,238150,Glass and Glazing Contractors,273,0.0004971303973571492,-0.32942436139142284,40.49
3,238160,Roofing Contractors,302,0.0017056468097734338,-0.2374460640134046,45.35
3,238170,Siding Contractors,398,0.0003496640208038706,-0.7241220055640821,24.0
3,238190,"Other Foundation, Structure, and Building Exterior Contractors",333,0.00037706694144007906,-0.9427625731223097,16.28
3,238210,Electrical Contractors and Other Wiring Installation Contractors,287,0.0069573474257351026,-0.2117536399360192,46.41
3,238220,"Plumbing, Heating, and Air-Conditioning Contractors",332,0.008182958396136713,-0.12199617602377916,50.85
3,238290,Other Building Equipment Contractors,273,0.0010196215466784344,-1.0497816876728219,13.32
3,238310,Drywall and Insulation Contractors,220,0.0017955710684908724,0.5092836241281442,74.21
3,238320,Painting and Wall Covering Contractors,292,0.0019142807271983664,0.372457597150675,70.93
3,238330,Flooring Contractors,303,0.0008042358524921834,0.16604310346866888,62.79
3,238340,Tile and Terrazzo Contractors,242,0.0005048114755928375,0.548680363336454,75.05
3,238350,Finish Carpentry Contractors,343,0.0015384528543907808,-0.16952257537579254,48.41
3,238390,Other Building Finishing Contractors,175,0.000641401583038674,0.5230696195524589,74.42
3,238910,Site Preparation Contractors,570,0.003359493666994018,-0.9993526259217741,14.9
3,238990,All Other Specialty Trade Contractors,384,0.003342393372579838,-0.5916266906068337,29.6
3,311111,Dog and Cat Food Manufacturing,121,0.00022256770311162945,-1.2329937847249068,8.14
3,311119,Other Animal Food Manufacturing,298,0.00021743359928717758,-1.6754887058763173,2.01
3,311211,Flour Milling,115,8.62644171084998e-05,-0.6441281518477788,27.27
3,311212,Rice Milling,27,3.0867723664106755e-05,-1.3801840476219047,5.6
3,311213,Malt Manufacturing,49,6.969761057775453e-06,0.06870072807612704,58.46
3,311221,Wet Corn Milling and Starch Manufacturing,32,7.807853313364748e-05,-1.0161178993793218,14.27
3,311224,Soybean and Other Oilseed Processing,86,5.838537287739799e-05,-1.6268129287594182,2.43
3,311225,Fats and Oils Refining and Blending,65,5.193762684534893e-05,-0.42017964140164515,36.36
