geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
4,111000,Crop Production,74,0.0050759593815863525,-0.883366610217109,18.29
4,112000,Animal Production,70,0.0026516068735359054,-1.4230478371287696,2.64
4,113110,Timber Tract Operations,46,2.529765124674053e-05,-0.6828978368478213,27.8
4,113210,Forest Nurseries and Gathering of Forest Products,40,1.703719369678444e-05,-0.8460593167516538,19.45
4,113310,Logging,64,0.0003570009133083107,-0.9112424185953311,16.81
4,114111,Finfish Fishing,30,6.95656727141094e-05,0.7964772611904183,79.7
4,114112,Shellfish Fishing,22,6.799962763693022e-05,0.8119613749153684,80.02
4,114119,Other Marine Fishing,23,9.52247189786605e-06,0.8648625111153778,81.08
4,114210,Hunting and Trapping,47,3.84857011823996e-05,-0.7420914246277227,24.0
4,115111,Cotton Ginning,35,3.501516172564721e-05,-0.6340677833782123,30.76
4,115112,"Soil Preparation, Planting, and Cultivating",72,0.0001982337719123838,-1.1324915886510862,9.3
4,115113,"Crop Harvesting, Primarily by Machine",37,6.93591612753605e-05,-0.19501379559632467,50.53
4,115114,Postharvest Crop Activities (except Cotton Ginning),31,0.0004930575328707125,-0.02560540933159026,57.19
4,115115,Farm Labor Contractors and Crew Leaders,33,0.0019636885889190415,0.29139176508458803,68.18
4,115116,Farm Management Services,28,0.00013253445224596218,-0.2795025563912843,47.25
4,115210,Support Activities for Animal Production,60,0.0002514506223922051,-1.1268804907295888,9.51
4,115310,Support Activities for Forestry,49,0.00014428265853923307,-0.40199994569404085,41.65
4,211120,Crude Petroleum Extraction,22,0.0004853477724907535,0.08643783569775162,60.89
4,211130,Natural Gas Extraction,27,0.00021898243507779435,-0.3283417992301933,44.29
4,212114,Surface Coal Mining,12,0.00010554455448725149,-1.5344839145823375,1.48
4,212115,Underground Coal Mining,10,0.00013306794012939686,-1.7482162367851477,0.32
4,212210,Iron Ore Mining,3,3.0466173644317227e-05,-0.8084264239109399,21.46
4,212220,Gold Ore and Silver Ore Mining,7,9.451913822960176e-05,1.1136030399443715,86.36
4,212230,"Copper, Nickel, Lead, and Zinc Mining",8,0.00011549725854917775,1.6132340178221047,92.07
4,212290,Other Metal Ore Mining,8,2.7529122070999505e-05,1.0684772250723162,85.31
4,212311,Dimension Stone Mining and Quarrying,32,4.493344721444866e-05,-0.7521708335860037,23.47
4,212312,Crushed and Broken Limestone Mining and Quarrying,68,0.0001383110361020773,-1.3277603894923433,4.65
4,212313,Crushed and Broken Granite Mining and Quarrying,23,3.681640038584597e-05,0.6162614760610284,75.9
4,212319,Other Crushed and Broken Stone Mining and Quarrying,36,4.7732824495267114e-05,0.11262707254207759,61.95
4,212321,Construction Sand and Gravel Mining,75,0.00019314555951876501,-0.6021800529258786,31.71
4,212322,Industrial Sand Mining,25,5.175406112201657e-05,-0.2025749742481847,50.21
4,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",16,3.634601321980681e-05,0.4077317176987499,71.14
4,212390,Other Nonmetallic Mineral Mining and Quarrying,31,7.25314064316978e-05,-0.0535394474761771,55.92
4,213111,Drilling Oil and Gas Wells,26,0.0002585121663116467,-0.5333671279628024,34.67
4,213112,Support Activities for Oil and Gas Operations,28,0.0012918437779514667,-0.20570323831656945,50.0
4,213113,Support Activities for Coal Mining,19,2.8819818563180146e-05,-1.135433857330703,9.2
4,213114,Support Activities for Metal Mining,10,2.8521524262765064e-05,1.3127258786070615,89.22
4,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,26,1.930308309416823e-05,-0.6021725077256915,31.82
4,221111,Hydroelectric Power Generation,34,4.766398734901748e-05,-0.34266995920364685,43.76
4,221112,Fossil Fuel Electric Power Generation,51,0.0004273754224908533,-1.046512238517831,12.05
4,221113,Nuclear Electric Power Generation,26,0.00021330337051219954,-0.4451965899457504,39.11
4,221114,Solar Electric Power Generation,27,9.617122973959298e-05,1.7480842718691654,93.66
4,221115,Wind Electric Power Generation,29,6.69670704431857e-05,-0.13544539019386617,52.54
4,221116,Geothermal Electric Power Generation,5,6.2068160201753414e-06,0.08139637077447144,60.78
4,221117,Biomass Electric Power Generation,21,1.4094405694612582e-05,0.49751529691811,73.68
4,221118,Other Electric Power Generation,22,2.8424004972244748e-05,-0.29750243267419285,46.09
4,221121,Electric Bulk Power Transmission and Control,43,0.00016649411106244835,-0.4819149151810424,37.32
4,221122,Electric Power Distribution,82,0.0013226426644693237,-0.6726752982788784,28.44
4,221210,Natural Gas Distribution,54,0.000679021083464099,-0.5252981309762559,35.1
4,221310,Water Supply and Irrigation Systems,74,0.0003202533500687144,-0.6026931192007401,31.61
4,221320,Sewage Treatment Facilities,53,4.456057933892981e-05,-0.13986827108985633,52.22
4,221330,Steam and Air-Conditioning Supply,26,8.879991866202799e-06,0.9100038824429943,82.66
4,236115,New Single-Family Housing Construction (except For-Sale Builders),69,0.003135847515257811,0.49722856056671627,73.57
4,236116,New Multifamily Housing Construction (except For-Sale Builders),38,0.00031452265764343235,1.4982508202691103,90.8
4,236117,New Housing For-Sale Builders,77,0.0005648833585533516,0.36154402757172704,69.87
4,236118,Residential Remodelers,64,0.0045392476251356634,0.39708124344837736,70.51
4,236210,Industrial Building Construction,59,0.0009852144464113258,-0.8850104692243047,18.18
4,236220,Commercial and Institutional Building Construction,76,0.004716107463137536,-0.034407316870198455,56.77
4,237110,Water and Sewer Line and Related Structures Construction,66,0.0012763210014721741,0.0805066726416123,60.68
4,237120,Oil and Gas Pipeline and Related Structures Construction,35,0.0008510279026553723,-0.6988976521060688,26.53
4,237130,Power and Communication Line and Related Structures Construction,65,0.0014282732653893872,-0.43824010391190094,39.53
4,237210,Land Subdivision,38,0.00024511186850838463,0.9049712289818606,82.45
4,237310,"Highway, Street, and Bridge Construction",99,0.002228505090541384,-0.37806133082891785,42.81
4,237990,Other Heavy and Civil Engineering Construction,53,0.0008575674315490875,-0.26817738872754454,47.67
4,238110,Poured Concrete Foundation and Structure Contractors,75,0.0017197985797565878,0.21734980984504265,64.9
4,238120,Structural Steel and Precast Concrete Contractors,62,0.0005447083382733546,-0.07444005478648387,54.76
4,238130,Framing Contractors,37,0.0006333246912120503,0.9443553835671668,83.09
4,238140,Masonry Contractors,75,0.0010414486584684225,0.3306879435652345,69.13
4,238150,Glass and Glazing Contractors,61,0.0004971303973571492,0.8130394376492859,80.13
4,238160,Roofing Contractors,74,0.0017056468097734338,0.2609476411312888,66.6
4,238170,Siding Contractors,85,0.0003496640208038706,-0.5603918458847419,33.19
4,238190,"Other Foundation, Structure, and Building Exterior Contractors",65,0.00037706694144007906,0.043420602160584264,59.09
4,238210,Electrical Contractors and Other Wiring Installation Contractors,73,0.0069573474257351026,0.4799706368353136,73.15
4,238220,"Plumbing, Heating, and Air-Conditioning Contractors",94,0.008182958396136713,0.17049200965132819,63.32
