geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,01001,Autauga County,153,0.2531266534889566,64.97,-13.768202745042574,47.53
1,01003,Baldwin County,245,0.8101530211416631,79.29,-2.5199354877605935,98.15
1,01005,Barbour County,94,-0.8619458621764626,19.47,-16.665029764402917,7.51
1,01007,Bibb County,94,-0.7707963367884438,23.67,-16.146620747219476,13.14
1,01009,Blount County,160,-0.1698180253141381,49.6,-9.167867105404648,83.36
1,01011,Bullock County,91,-0.7506053217631491,24.28,-14.159264158996693,42.48
1,01013,Butler County,100,-0.6313685394593349,29.62,-15.46802336647633,23.04
1,01015,Calhoun County,163,1.0968190536151807,84.6,-11.476594945685083,68.98
1,01017,Chambers County,120,-0.05151072941180296,54.12,-14.520806073534212,37.54
1,01019,Cherokee County,119,-0.5161074595295724,35.41,-12.915975742156666,56.16
1,01021,Chilton County,149,-0.19423352421515427,48.84,-11.838776613058704,66.31
1,01023,Choctaw County,74,-1.0072950729181314,13.97,-16.844784781026256,5.73
1,01025,Clarke County,108,-0.552403966493128,33.47,-16.846251200197873,5.7
1,01027,Clay County,66,-1.0494907363436186,12.82,-15.34878083047572,25.01
1,01029,Cleburne County,85,-0.8431536333709525,20.3,-15.984191401729065,15.24
1,01031,Coffee County,147,0.1975117090562618,63.73,-12.722807318584719,58.26
1,01033,Colbert County,166,0.5205595349423928,72.8,-11.693266210210272,67.42
1,01035,Conecuh County,82,-0.7441736232334002,24.53,-16.41923269794735,10.21
1,01037,Coosa County,76,-0.70615935783202,26.15,-15.636129466655841,20.14
1,01039,Covington County,140,-0.2990034735839263,44.54,-11.089027704580396,72.06
1,01041,Crenshaw County,88,-0.8230808723228407,21.09,-14.222181016070563,41.52
1,01043,Cullman County,178,0.40552021279001343,69.93,-9.132635756159539,83.65
1,01045,Dale County,90,0.5953519104057823,74.67,-11.455368542370152,69.07
1,01047,Dallas County,138,-0.1252638632155596,51.38,-11.473352721155896,69.04
1,01049,DeKalb County,144,-0.21646609105288886,47.98,-11.731279724121478,67.04
1,01051,Elmore County,151,0.11389263116148453,60.55,-14.024915422293178,44.51
1,01053,Escambia County,124,-0.2781228170936402,45.43,-15.278558740834695,26.19
1,01055,Etowah County,167,0.5176735859822059,72.73,-14.334159432530182,40.38
1,01057,Fayette County,94,-0.6076614610128219,30.58,-16.855660419576605,5.63
1,01059,Franklin County,98,-0.5706034017326441,32.33,-16.242367317200895,11.87
1,01061,Geneva County,116,-0.7938218295792944,22.27,-13.007907783178826,55.14
1,01063,Greene County,68,-0.9745454553003993,15.21,-15.092923708794977,28.89
1,01065,Hale County,104,-0.9986373907463167,14.38,-16.44234370211787,9.86
1,01067,Henry County,109,-0.7834797110149929,22.65,-14.902034964205,31.94
1,01069,Houston County,198,1.1876714022342867,86.32,-14.338966689249704,40.28
1,01071,Jackson County,145,0.19032360678664365,63.41,-11.164050107728256,71.46
1,01073,Jefferson County,248,1.7398193013249574,93.64,-4.470129580284742,96.44
1,01075,Lamar County,97,-0.8736889807756822,19.09,-14.771900990244221,33.95
1,01077,Lauderdale County,181,0.5336781886523475,73.15,-11.647799688927003,67.64
1,01079,Lawrence County,114,-0.5678076291409734,32.55,-14.052786138856252,44.0
1,01081,Lee County,168,1.0150040862606844,82.91,-11.523465076047367,68.66
1,01083,Limestone County,139,0.725416351073904,77.28,-12.241046294156074,62.77
1,01085,Lowndes County,76,-1.2205067855316691,8.02,-15.07600107640164,29.18
1,01087,Macon County,63,-0.21074848661389087,48.33,-12.040609675074748,64.33
1,01089,Madison County,157,2.2710344421899826,97.23,-9.109249330054862,83.9
1,01091,Marengo County,109,-0.571828901563517,32.2,-16.23236015020378,11.96
