geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
1,111000,Crop Production,1640,0.0050759593815863525,-2.311795333349641,0.95
1,112000,Animal Production,1700,0.0026516068735359054,-2.4197384576086947,0.85
1,113110,Timber Tract Operations,668,2.529765124674053e-05,-1.3356051724655078,9.51
1,113210,Forest Nurseries and Gathering of Forest Products,462,1.703719369678444e-05,-1.0707651628182981,16.28
1,113310,Logging,1367,0.0003570009133083107,-1.9599970749597169,2.75
1,114111,Finfish Fishing,506,6.95656727141094e-05,-1.0479731918869666,17.34
1,114112,Shellfish Fishing,421,6.799962763693022e-05,-1.2302694152701723,11.84
1,114119,Other Marine Fishing,186,9.52247189786605e-06,0.09793267240643222,50.63
1,114210,Hunting and Trapping,972,3.84857011823996e-05,-1.7481076787440595,4.65
1,115111,Cotton Ginning,342,3.501516172564721e-05,-2.1476308945756784,1.69
1,115112,"Soil Preparation, Planting, and Cultivating",1443,0.0001982337719123838,-2.4896080656446546,0.63
1,115113,"Crop Harvesting, Primarily by Machine",501,6.93591612753605e-05,-2.5191878559224636,0.42
1,115114,Postharvest Crop Activities (except Cotton Ginning),468,0.0004930575328707125,-2.10268605279371,2.11
1,115115,Farm Labor Contractors and Crew Leaders,1800,0.0019636885889190415,-2.6904394620525425,0.11
1,115116,Farm Management Services,560,0.00013253445224596218,-2.2531597402077144,1.27
1,115210,Support Activities for Animal Production,1607,0.0002514506223922051,-2.138451578096273,1.9
1,115310,Support Activities for Forestry,900,0.00014428265853923307,-1.752596143425436,4.55
1,211120,Crude Petroleum Extraction,377,0.0004853477724907535,-2.4686384122663436,0.74
1,211130,Natural Gas Extraction,326,0.00021898243507779435,-1.9441301075900659,2.96
1,212114,Surface Coal Mining,130,0.00010554455448725149,-1.5993154538246115,5.81
1,212115,Underground Coal Mining,88,0.00013306794012939686,-1.3308155419279046,9.83
1,212210,Iron Ore Mining,18,3.0466173644317227e-05,-0.04967008044862596,46.41
1,212220,Gold Ore and Silver Ore Mining,56,9.451913822960176e-05,-1.4254317478290435,8.67
1,212230,"Copper, Nickel, Lead, and Zinc Mining",40,0.00011549725854917775,-0.7613557592138731,23.68
1,212290,Other Metal Ore Mining,58,2.7529122070999505e-05,-0.9122436784410501,19.56
1,212311,Dimension Stone Mining and Quarrying,283,4.493344721444866e-05,-1.293265605233542,10.78
1,212312,Crushed and Broken Limestone Mining and Quarrying,587,0.0001383110361020773,-1.1998418982870012,12.68
1,212313,Crushed and Broken Granite Mining and Quarrying,182,3.681640038584597e-05,0.19454583187823676,54.44
1,212319,Other Crushed and Broken Stone Mining and Quarrying,298,4.7732824495267114e-05,-0.7399597880360818,24.52
1,212321,Construction Sand and Gravel Mining,863,0.00019314555951876501,-1.3092129250278777,10.47
1,212322,Industrial Sand Mining,136,5.175406112201657e-05,-1.0288740867507924,17.65
1,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",98,3.634601321980681e-05,-1.1705700817918585,13.64
1,212390,Other Nonmetallic Mineral Mining and Quarrying,212,7.25314064316978e-05,-1.2230957817825756,12.16
1,213111,Drilling Oil and Gas Wells,431,0.0002585121663116467,-2.1939277371121237,1.48
1,213112,Support Activities for Oil and Gas Operations,541,0.0012918437779514667,-2.550638122297188,0.32
1,213113,Support Activities for Coal Mining,150,2.8819818563180146e-05,-1.334693413417328,9.62
1,213114,Support Activities for Metal Mining,109,2.8521524262765064e-05,-0.737796755038633,24.63
1,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,185,1.930308309416823e-05,-0.531828405464968,29.81
1,221111,Hydroelectric Power Generation,270,4.766398734901748e-05,-0.8560898982774171,21.35
1,221112,Fossil Fuel Electric Power Generation,463,0.0004273754224908533,-0.785227548784947,22.83
1,221113,Nuclear Electric Power Generation,63,0.00021330337051219954,0.47241473990605704,65.86
1,221114,Solar Electric Power Generation,173,9.617122973959298e-05,0.487934884596089,66.49
1,221115,Wind Electric Power Generation,229,6.69670704431857e-05,-1.742963430253885,4.86
1,221116,Geothermal Electric Power Generation,28,6.2068160201753414e-06,-0.07988492285528609,45.35
1,221117,Biomass Electric Power Generation,100,1.4094405694612582e-05,0.30134978117010613,58.88
1,221118,Other Electric Power Generation,123,2.8424004972244748e-05,0.8839835051003513,80.23
1,221121,Electric Bulk Power Transmission and Control,249,0.00016649411106244835,-0.4993824294919496,31.08
1,221122,Electric Power Distribution,1486,0.0013226426644693237,-1.7287354651211857,4.97
1,221210,Natural Gas Distribution,678,0.000679021083464099,-1.1593408179094384,14.48
1,221310,Water Supply and Irrigation Systems,1057,0.0003202533500687144,-1.488316601158263,7.93
1,221320,Sewage Treatment Facilities,385,4.456057933892981e-05,-0.44745267375482917,32.56
1,221330,Steam and Air-Conditioning Supply,74,8.879991866202799e-06,1.8825891717148102,97.67
1,236115,New Single-Family Housing Construction (except For-Sale Builders),1552,0.003135847515257811,-1.5042367211251648,7.72
1,236116,New Multifamily Housing Construction (except For-Sale Builders),387,0.00031452265764343235,0.1583800080990384,52.85
1,236117,New Housing For-Sale Builders,958,0.0005648833585533516,-1.071874643966237,16.07
1,236118,Residential Remodelers,1406,0.0045392476251356634,-1.3303016008876845,9.94
1,236210,Industrial Building Construction,579,0.0009852144464113258,-1.1140217184801053,15.54
1,236220,Commercial and Institutional Building Construction,925,0.004716107463137536,-1.175405875410238,13.53
1,237110,Water and Sewer Line and Related Structures Construction,1187,0.0012763210014721741,-1.597243849826304,5.92
1,237120,Oil and Gas Pipeline and Related Structures Construction,498,0.0008510279026553723,-1.5932843780094834,6.03
1,237130,Power and Communication Line and Related Structures Construction,889,0.0014282732653893872,-1.3104352053230537,10.36
1,237210,Land Subdivision,631,0.00024511186850838463,-1.1612544526178448,14.16
1,237310,"Highway, Street, and Bridge Construction",990,0.002228505090541384,-1.0069842811507437,18.08
1,237990,Other Heavy and Civil Engineering Construction,946,0.0008575674315490875,-1.519160113318403,6.98
1,238110,Poured Concrete Foundation and Structure Contractors,1253,0.0017197985797565878,-1.5061182643987736,7.4
1,238120,Structural Steel and Precast Concrete Contractors,655,0.0005447083382733546,-0.8684514220580576,20.61
1,238130,Framing Contractors,908,0.0006333246912120503,-1.4622570085902828,8.35
1,238140,Masonry Contractors,1038,0.0010414486584684225,-1.104821616707757,15.64
1,238150,Glass and Glazing Contractors,635,0.0004971303973571492,-0.08895019595215388,44.71
1,238160,Roofing Contractors,831,0.0017056468097734338,-0.7629896317040766,23.47
1,238170,Siding Contractors,1220,0.0003496640208038706,-1.2699188084799995,11.21
1,238190,"Other Foundation, Structure, and Building Exterior Contractors",1014,0.00037706694144007906,-1.468837452858811,8.25
1,238210,Electrical Contractors and Other Wiring Installation Contractors,919,0.0069573474257351026,-0.9394860924357918,19.03
1,238220,"Plumbing, Heating, and Air-Conditioning Contractors",1011,0.008182958396136713,-0.6568422282753982,27.27
1,238290,Other Building Equipment Contractors,838,0.0010196215466784344,-1.1396133406495625,15.01
1,238310,Drywall and Insulation Contractors,749,0.0017955710684908724,-0.8562614215306615,21.25
1,238320,Painting and Wall Covering Contractors,1039,0.0019142807271983664,-0.927659554405757,19.24
1,238330,Flooring Contractors,1054,0.0008042358524921834,-1.0677916304118404,16.38
1,238340,Tile and Terrazzo Contractors,684,0.0005048114755928375,-0.5604404394556058,28.65
1,238350,Finish Carpentry Contractors,1337,0.0015384528543907808,-1.3272966767495382,10.04
1,238390,Other Building Finishing Contractors,594,0.000641401583038674,-0.26620724362571097,38.48
1,238910,Site Preparation Contractors,2171,0.003359493666994018,-1.7923234151555745,4.23
1,238990,All Other Specialty Trade Contractors,1437,0.003342393372579838,-1.4483025684683057,8.46
1,311111,Dog and Cat Food Manufacturing,226,0.00022256770311162945,-0.26402705002186083,38.69
1,311119,Other Animal Food Manufacturing,735,0.00021743359928717758,-1.6598490669443895,5.29
1,311211,Flour Milling,225,8.62644171084998e-05,-0.8368076636606117,22.09
1,311212,Rice Milling,59,3.0867723664106755e-05,-1.5193815584307613,6.87
1,311213,Malt Manufacturing,73,6.969761057775453e-06,0.23311886965891715,56.03
1,311221,Wet Corn Milling and Starch Manufacturing,55,7.807853313364748e-05,-0.8942877672967566,20.19
1,311224,Soybean and Other Oilseed Processing,188,5.838537287739799e-05,-1.4747453609357448,8.14
1,311225,Fats and Oils Refining and Blending,143,5.193762684534893e-05,-0.3812648034679499,34.67
1,311230,Breakfast Cereal Manufacturing,101,7.60535737481374e-05,-0.2069287949492832,41.01
1,311313,Beet Sugar Manufacturing,27,3.9397793370207254e-05,-1.513456727540888,7.19
1,311314,Cane Sugar Manufacturing,33,3.8307871887921376e-05,0.5208349053241993,68.18
1,311340,Nonchocolate Confectionery Manufacturing,179,0.00015557195052417306,0.5700811631968595,70.08
1,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,97,6.029560368582534e-05,1.4986309535517406,95.24
1,311352,Confectionery Manufacturing from Purchased Chocolate,290,0.00018771316139389805,0.5203243333739688,68.08
