geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
2,111000,Crop Production,21,0.0050759593815863525,-2.311795333349641,0.95
2,112000,Animal Production,22,0.0026516068735359054,-2.4197384576086947,0.85
2,113110,Timber Tract Operations,17,2.529765124674053e-05,-1.3356051724655078,9.51
2,113210,Forest Nurseries and Gathering of Forest Products,23,1.703719369678444e-05,-1.0707651628182981,16.28
2,113310,Logging,23,0.0003570009133083107,-1.9599970749597169,2.75
2,114111,Finfish Fishing,15,6.95656727141094e-05,-1.0479731918869666,17.34
2,114112,Shellfish Fishing,9,6.799962763693022e-05,-1.2302694152701723,11.84
2,114119,Other Marine Fishing,11,9.52247189786605e-06,0.09793267240643222,50.63
2,114210,Hunting and Trapping,15,3.84857011823996e-05,-1.7481076787440595,4.65
2,115111,Cotton Ginning,14,3.501516172564721e-05,-2.1476308945756784,1.69
2,115112,"Soil Preparation, Planting, and Cultivating",21,0.0001982337719123838,-2.4896080656446546,0.63
2,115113,"Crop Harvesting, Primarily by Machine",12,6.93591612753605e-05,-2.5191878559224636,0.42
2,115114,Postharvest Crop Activities (except Cotton Ginning),9,0.0004930575328707125,-2.10268605279371,2.11
2,115115,Farm Labor Contractors and Crew Leaders,15,0.0019636885889190415,-2.6904394620525425,0.11
2,115116,Farm Management Services,6,0.00013253445224596218,-2.2531597402077144,1.27
2,115210,Support Activities for Animal Production,21,0.0002514506223922051,-2.138451578096273,1.9
2,115310,Support Activities for Forestry,16,0.00014428265853923307,-1.752596143425436,4.55
2,211120,Crude Petroleum Extraction,10,0.0004853477724907535,-2.4686384122663436,0.74
2,211130,Natural Gas Extraction,10,0.00021898243507779435,-1.9441301075900659,2.96
2,212114,Surface Coal Mining,13,0.00010554455448725149,-1.5993154538246115,5.81
2,212115,Underground Coal Mining,10,0.00013306794012939686,-1.3308155419279046,9.83
2,212210,Iron Ore Mining,4,3.0466173644317227e-05,-0.04967008044862596,46.41
2,212220,Gold Ore and Silver Ore Mining,6,9.451913822960176e-05,-1.4254317478290435,8.67
2,212230,"Copper, Nickel, Lead, and Zinc Mining",8,0.00011549725854917775,-0.7613557592138731,23.68
2,212290,Other Metal Ore Mining,8,2.7529122070999505e-05,-0.9122436784410501,19.56
2,212311,Dimension Stone Mining and Quarrying,20,4.493344721444866e-05,-1.293265605233542,10.78
2,212312,Crushed and Broken Limestone Mining and Quarrying,18,0.0001383110361020773,-1.1998418982870012,12.68
2,212313,Crushed and Broken Granite Mining and Quarrying,11,3.681640038584597e-05,0.19454583187823676,54.44
2,212319,Other Crushed and Broken Stone Mining and Quarrying,21,4.7732824495267114e-05,-0.7399597880360818,24.52
2,212321,Construction Sand and Gravel Mining,28,0.00019314555951876501,-1.3092129250278777,10.47
2,212322,Industrial Sand Mining,10,5.175406112201657e-05,-1.0288740867507924,17.65
2,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",11,3.634601321980681e-05,-1.1705700817918585,13.64
2,212390,Other Nonmetallic Mineral Mining and Quarrying,14,7.25314064316978e-05,-1.2230957817825756,12.16
2,213111,Drilling Oil and Gas Wells,13,0.0002585121663116467,-2.1939277371121237,1.48
2,213112,Support Activities for Oil and Gas Operations,12,0.0012918437779514667,-2.550638122297188,0.32
2,213113,Support Activities for Coal Mining,12,2.8819818563180146e-05,-1.334693413417328,9.62
2,213114,Support Activities for Metal Mining,11,2.8521524262765064e-05,-0.737796755038633,24.63
2,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,16,1.930308309416823e-05,-0.531828405464968,29.81
2,221111,Hydroelectric Power Generation,19,4.766398734901748e-05,-0.8560898982774171,21.35
2,221112,Fossil Fuel Electric Power Generation,22,0.0004273754224908533,-0.785227548784947,22.83
2,221113,Nuclear Electric Power Generation,18,0.00021330337051219954,0.47241473990605704,65.86
2,221114,Solar Electric Power Generation,11,9.617122973959298e-05,0.487934884596089,66.49
2,221115,Wind Electric Power Generation,14,6.69670704431857e-05,-1.742963430253885,4.86
